requisito,valor,peso
Requisito_94,49,45
Requisito_95,11,133
Requisito_96,14,68
Requisito_97,36,50
Requisito_98,9,66
Requisito_99,24,84
Requisito_100,34,101
Requisito_101,23,43
Requisito_102,21,67
Requisito_103,6,56
Requisito_104,19,93
Requisito_105,26,136
Requisito_106,46,46
Requisito_107,26,117
Requisito_108,46,88
Requisito_109,42,64
Requisito_110,29,116
Requisito_111,42,112
Requisito_112,45,123
Requisito_113,11,64
Requisito_114,53,56
Requisito_115,26,45
Requisito_116,42,105
Requisito_117,5,132
Requisito_118,32,81
Requisito_119,16,70
Requisito_120,41,62
Requisito_121,32,53
Requisito_122,33,44
Requisito_123,10,46
Requisito_124,12,48
Requisito_125,34,27
Requisito_126,28,134
Requisito_127,18,135
Requisito_128,8,87
Requisito_129,30,79
Requisito_130,50,121
Requisito_131,22,138
Requisito_132,9,45
Requisito_133,40,137
Requisito_134,26,111
Requisito_135,23,68
Requisito_136,37,92
Requisito_137,4,119
Requisito_138,34,129
Requisito_139,25,16
Requisito_140,25,25
Requisito_141,49,33
Requisito_142,54,84
Requisito_143,26,96
Requisito_144,29,27
Requisito_145,12,50
Requisito_146,52,114
Requisito_147,6,43
Requisito_148,28,19
Requisito_149,31,107
Requisito_150,9,32
Requisito_151,50,23
Requisito_152,4,102
Requisito_153,39,59
Requisito_154,39,106
Requisito_155,26,81
Requisito_156,35,142
Requisito_157,8,25
Requisito_158,19,61
Requisito_159,29,118
Requisito_160,39,44
Requisito_161,12,110
Requisito_162,17,50
Requisito_163,24,22
Requisito_164,53,134
Requisito_165,26,35
Requisito_166,46,38
Requisito_167,13,141
Requisito_168,24,136
Requisito_169,40,29
Requisito_170,42,71
Requisito_171,43,28
Requisito_172,10,116
Requisito_173,21,135
Requisito_174,45,91
Requisito_175,11,31
Requisito_176,6,80
Requisito_177,30,118
Requisito_178,45,95
Requisito_179,29,73
Requisito_180,31,132
Requisito_181,8,113
Requisito_182,48,29
Requisito_183,19,89
Requisito_184,49,56
Requisito_185,15,125
Requisito_186,38,24
Requisito_187,53,81
Requisito_188,35,86
Requisito_189,15,31
Requisito_190,18,138
Requisito_191,8,23
Requisito_192,38,106
Requisito_193,7,52
Requisito_194,44,81
Requisito_195,4,77
Requisito_196,28,102
Requisito_197,29,61
Requisito_198,23,79
Requisito_199,21,52
Requisito_200,43,85
Requisito_201,33,17
Requisito_202,19,42
Requisito_203,20,19
Requisito_204,45,120
Requisito_205,2,55
Requisito_206,27,43
Requisito_207,44,47
Requisito_208,37,23
Requisito_209,20,31
Requisito_210,36,144
Requisito_211,11,58
Requisito_212,35,129
Requisito_213,6,96
Requisito_214,37,56
Requisito_215,8,94
Requisito_216,4,86
Requisito_217,17,61
Requisito_218,48,87
Requisito_219,14,69
Requisito_220,7,54
Requisito_221,34,51
Requisito_222,43,56
Requisito_223,28,58
Requisito_224,3,136
Requisito_225,44,94
Requisito_226,34,30
Requisito_227,46,117
Requisito_228,34,123
Requisito_229,14,43
Requisito_230,23,30
Requisito_231,51,122
Requisito_232,34,53
Requisito_233,39,54
Requisito_234,26,31
Requisito_235,38,105
Requisito_236,21,121
Requisito_237,20,107
Requisito_238,28,26
Requisito_239,46,136
Requisito_240,44,82
Requisito_241,36,67
Requisito_242,7,105
Requisito_243,20,56
Requisito_244,28,113
Requisito_245,24,127
Requisito_246,30,22
Requisito_247,20,143
Requisito_248,40,112
Requisito_249,6,23
Requisito_250,38,58
Requisito_251,2,125
Requisito_252,15,64
Requisito_253,12,117
Requisito_254,51,144
Requisito_255,33,87
Requisito_256,44,23
Requisito_257,16,139
Requisito_258,27,30
Requisito_259,51,60
Requisito_260,5,112
Requisito_261,51,58
Requisito_262,46,45
Requisito_263,13,97
Requisito_264,35,129
Requisito_265,45,142
Requisito_266,35,104
Requisito_267,42,26
Requisito_268,35,24
Requisito_269,33,44
Requisito_270,39,52
Requisito_271,41,124
Requisito_272,18,140
Requisito_273,44,70
Requisito_274,10,59
Requisito_275,41,141
Requisito_276,53,139
Requisito_277,13,25
Requisito_278,35,120
Requisito_279,39,16
Requisito_280,13,91
Requisito_281,11,16
Requisito_282,8,51
Requisito_283,24,59
Requisito_284,10,119
Requisito_285,27,114
Requisito_286,38,50
Requisito_287,50,58
Requisito_288,28,98
Requisito_289,50,65
Requisito_290,8,83
Requisito_291,45,37
Requisito_292,18,98
Requisito_293,13,91
Requisito_294,31,17
Requisito_295,26,45
Requisito_296,54,109
Requisito_297,29,62
Requisito_298,31,108
Requisito_299,36,72
Requisito_300,14,95
