sprint,requisito,valor_req,peso_req
Sprint 10,Requisito_69,5.0,25.0
Sprint 10,Requisito_70,5.0,31.0
Sprint 11,Requisito_71,3.0,32.0
Sprint 11,Requisito_72,5.0,10.0
Sprint 11,Requisito_73,4.0,26.0
Sprint 11,Requisito_74,4.0,9.0
Sprint 11,Requisito_75,10.0,14.0
Sprint 11,Requisito_76,8.0,37.0
Sprint 11,Requisito_77,17.0,32.0
Sprint 11,Requisito_78,3.0,14.0
Sprint 12,Requisito_79,18.0,33.0
Sprint 12,Requisito_80,11.0,27.0
Sprint 12,Requisito_81,5.0,23.0
Sprint 12,Requisito_82,2.0,39.0
Sprint 12,Requisito_83,8.0,17.0
Sprint 12,Requisito_84,4.0,40.0
Sprint 13,Requisito_29,18.0,11.0
Sprint 13,Requisito_85,9.0,25.0
Sprint 13,Requisito_86,9.0,26.0
Sprint 13,Requisito_87,7.0,9.0
Sprint 13,Requisito_88,8.0,24.0
Sprint 13,Requisito_89,16.0,13.0
Sprint 13,Requisito_91,4.0,29.0
Sprint 13,Requisito_92,13.0,39.0
Sprint 14,Requisito_90,13.0,9.0
Sprint 14,Requisito_93,6.0,14.0
Sprint 14,Requisito_94,9.0,15.0
Sprint 14,Requisito_95,9.0,32.0
Sprint 14,Requisito_96,2.0,30.0
Sprint 14,Requisito_97,1.0,38.0
Sprint 14,Requisito_100,7.0,15.0
Sprint 14,Requisito_395,16.0,22.0
Sprint 15,Requisito_99,8.0,8.0
Sprint 15,Requisito_101,7.0,21.0
Sprint 15,Requisito_102,17.0,13.0
Sprint 15,Requisito_103,2.0,21.0
Sprint 15,Requisito_104,11.0,16.0
Sprint 15,Requisito_105,15.0,19.0
Sprint 15,Requisito_108,15.0,30.0
Sprint 15,Requisito_109,14.0,29.0
Sprint 15,Requisito_110,5.0,21.0
Sprint 16,Requisito_107,17.0,18.0
Sprint 16,Requisito_111,16.0,38.0
Sprint 16,Requisito_112,6.0,14.0
Sprint 16,Requisito_115,18.0,33.0
Sprint 16,Requisito_116,4.0,38.0
Sprint 16,Requisito_117,5.0,38.0
Sprint 17,Requisito_57,5.0,13.0
Sprint 17,Requisito_118,12.0,17.0
Sprint 17,Requisito_119,14.0,40.0
Sprint 17,Requisito_120,1.0,17.0
Sprint 17,Requisito_121,17.0,29.0
Sprint 17,Requisito_122,1.0,26.0
Sprint 17,Requisito_123,11.0,31.0
Sprint 18,Requisito_106,13.0,11.0
Sprint 18,Requisito_124,1.0,22.0
Sprint 18,Requisito_126,8.0,34.0
Sprint 18,Requisito_127,12.0,32.0
Sprint 18,Requisito_128,4.0,33.0
Sprint 18,Requisito_129,13.0,22.0
Sprint 18,Requisito_130,3.0,25.0
Sprint 19,Requisito_125,3.0,12.0
Sprint 19,Requisito_131,17.0,14.0
Sprint 19,Requisito_132,16.0,27.0
Sprint 19,Requisito_133,13.0,35.0
Sprint 19,Requisito_134,14.0,27.0
Sprint 19,Requisito_135,9.0,28.0
Sprint 19,Requisito_136,11.0,37.0
Sprint 20,Requisito_114,15.0,8.0
Sprint 20,Requisito_137,15.0,38.0
Sprint 20,Requisito_138,5.0,37.0
Sprint 20,Requisito_139,2.0,18.0
Sprint 20,Requisito_140,4.0,8.0
Sprint 20,Requisito_141,10.0,15.0
Sprint 20,Requisito_142,17.0,8.0
Sprint 20,Requisito_143,3.0,32.0
Sprint 20,Requisito_144,4.0,15.0
Sprint 21,Requisito_145,9.0,22.0
Sprint 21,Requisito_146,10.0,11.0
Sprint 21,Requisito_147,12.0,39.0
Sprint 21,Requisito_148,1.0,35.0
Sprint 21,Requisito_149,17.0,40.0
Sprint 21,Requisito_150,9.0,30.0
Sprint 22,Requisito_151,10.0,36.0
Sprint 22,Requisito_153,1.0,28.0
Sprint 22,Requisito_154,13.0,30.0
Sprint 22,Requisito_156,3.0,28.0
Sprint 22,Requisito_157,16.0,27.0
Sprint 22,Requisito_160,9.0,30.0
Sprint 23,Requisito_152,11.0,8.0
Sprint 23,Requisito_158,13.0,12.0
Sprint 23,Requisito_161,18.0,33.0
Sprint 23,Requisito_162,16.0,26.0
Sprint 23,Requisito_163,18.0,31.0
Sprint 23,Requisito_164,2.0,28.0
Sprint 23,Requisito_166,13.0,35.0
Sprint 24,Requisito_159,9.0,10.0
Sprint 24,Requisito_165,11.0,17.0
Sprint 24,Requisito_167,11.0,30.0
Sprint 24,Requisito_168,4.0,25.0
Sprint 24,Requisito_170,13.0,36.0
Sprint 24,Requisito_171,4.0,23.0
Sprint 24,Requisito_172,16.0,38.0
Sprint 25,Requisito_169,5.0,18.0
Sprint 25,Requisito_173,12.0,13.0
Sprint 25,Requisito_174,15.0,40.0
Sprint 25,Requisito_175,1.0,29.0
Sprint 25,Requisito_176,6.0,27.0
Sprint 25,Requisito_177,5.0,23.0
Sprint 25,Requisito_178,8.0,15.0
Sprint 25,Requisito_179,16.0,14.0
Sprint 26,Requisito_180,9.0,28.0
Sprint 26,Requisito_181,16.0,40.0
Sprint 26,Requisito_182,16.0,40.0
Sprint 26,Requisito_183,14.0,22.0
Sprint 26,Requisito_184,17.0,24.0
Sprint 26,Requisito_186,11.0,20.0
Sprint 27,Requisito_185,4.0,16.0
Sprint 27,Requisito_187,11.0,11.0
Sprint 27,Requisito_188,2.0,35.0
Sprint 27,Requisito_189,5.0,10.0
Sprint 27,Requisito_190,2.0,11.0
Sprint 27,Requisito_191,3.0,26.0
Sprint 27,Requisito_192,5.0,37.0
Sprint 27,Requisito_194,8.0,34.0
Sprint 28,Requisito_193,11.0,14.0
Sprint 28,Requisito_197,9.0,37.0
Sprint 28,Requisito_198,16.0,27.0
Sprint 28,Requisito_199,4.0,39.0
Sprint 28,Requisito_200,10.0,32.0
Sprint 28,Requisito_201,8.0,25.0
Sprint 29,Requisito_196,17.0,22.0
Sprint 29,Requisito_202,1.0,10.0
Sprint 29,Requisito_203,9.0,10.0
Sprint 29,Requisito_204,13.0,29.0
Sprint 29,Requisito_205,1.0,22.0
Sprint 29,Requisito_206,8.0,34.0
Sprint 29,Requisito_207,12.0,17.0
Sprint 29,Requisito_208,9.0,12.0
Sprint 29,Requisito_209,2.0,22.0
Sprint 30,Requisito_155,7.0,8.0
Sprint 30,Requisito_210,14.0,39.0
Sprint 30,Requisito_211,13.0,14.0
Sprint 30,Requisito_212,13.0,37.0
Sprint 30,Requisito_213,7.0,8.0
Sprint 30,Requisito_214,8.0,37.0
Sprint 30,Requisito_215,12.0,36.0
Sprint 31,Requisito_216,12.0,40.0
Sprint 31,Requisito_217,2.0,40.0
Sprint 31,Requisito_218,13.0,12.0
Sprint 31,Requisito_219,13.0,37.0
Sprint 31,Requisito_220,3.0,29.0
Sprint 31,Requisito_221,14.0,18.0
Sprint 32,Requisito_222,12.0,40.0
Sprint 32,Requisito_223,17.0,9.0
Sprint 32,Requisito_225,13.0,34.0
Sprint 32,Requisito_227,15.0,28.0
Sprint 32,Requisito_228,7.0,23.0
Sprint 32,Requisito_229,15.0,22.0
Sprint 32,Requisito_230,18.0,24.0
Sprint 33,Requisito_224,18.0,20.0
Sprint 33,Requisito_231,9.0,19.0
Sprint 33,Requisito_232,17.0,20.0
Sprint 33,Requisito_233,15.0,22.0
Sprint 33,Requisito_234,14.0,26.0
Sprint 33,Requisito_235,7.0,30.0
Sprint 33,Requisito_236,13.0,14.0
Sprint 33,Requisito_237,1.0,28.0
Sprint 34,Requisito_238,10.0,26.0
Sprint 34,Requisito_239,17.0,34.0
Sprint 34,Requisito_240,17.0,12.0
Sprint 34,Requisito_241,8.0,14.0
Sprint 34,Requisito_242,4.0,35.0
Sprint 34,Requisito_243,3.0,18.0
Sprint 34,Requisito_245,18.0,35.0
Sprint 35,Requisito_244,9.0,19.0
Sprint 35,Requisito_246,7.0,15.0
Sprint 35,Requisito_247,5.0,11.0
Sprint 35,Requisito_248,11.0,38.0
Sprint 35,Requisito_249,10.0,32.0
Sprint 35,Requisito_251,14.0,18.0
Sprint 35,Requisito_254,1.0,40.0
Sprint 36,Requisito_250,6.0,11.0
Sprint 36,Requisito_252,6.0,15.0
Sprint 36,Requisito_253,18.0,10.0
Sprint 36,Requisito_255,13.0,38.0
Sprint 36,Requisito_257,1.0,37.0
Sprint 36,Requisito_258,11.0,37.0
Sprint 36,Requisito_259,15.0,31.0
Sprint 37,Requisito_256,3.0,29.0
Sprint 37,Requisito_261,6.0,39.0
Sprint 37,Requisito_262,8.0,36.0
Sprint 37,Requisito_263,13.0,33.0
Sprint 37,Requisito_264,1.0,25.0
Sprint 37,Requisito_265,14.0,18.0
Sprint 38,Requisito_226,12.0,9.0
Sprint 38,Requisito_266,9.0,21.0
Sprint 38,Requisito_267,14.0,30.0
Sprint 38,Requisito_268,2.0,31.0
Sprint 38,Requisito_269,6.0,28.0
Sprint 38,Requisito_271,3.0,27.0
Sprint 38,Requisito_272,1.0,34.0
Sprint 39,Requisito_270,12.0,13.0
Sprint 39,Requisito_273,3.0,20.0
Sprint 39,Requisito_275,11.0,34.0
Sprint 39,Requisito_277,8.0,23.0
Sprint 39,Requisito_278,12.0,37.0
Sprint 39,Requisito_279,1.0,22.0
Sprint 39,Requisito_280,16.0,27.0
Sprint 40,Requisito_260,9.0,9.0
Sprint 40,Requisito_281,15.0,22.0
Sprint 40,Requisito_282,3.0,10.0
Sprint 40,Requisito_283,13.0,33.0
Sprint 40,Requisito_284,3.0,27.0
Sprint 40,Requisito_285,3.0,28.0
Sprint 40,Requisito_286,14.0,18.0
Sprint 40,Requisito_287,7.0,32.0
Sprint 41,Requisito_289,4.0,26.0
Sprint 41,Requisito_290,11.0,34.0
Sprint 41,Requisito_292,15.0,23.0
Sprint 41,Requisito_293,10.0,31.0
Sprint 41,Requisito_294,2.0,35.0
Sprint 41,Requisito_295,3.0,25.0
Sprint 42,Requisito_288,11.0,14.0
Sprint 42,Requisito_296,2.0,13.0
Sprint 42,Requisito_297,11.0,21.0
Sprint 42,Requisito_298,10.0,12.0
Sprint 42,Requisito_299,3.0,28.0
Sprint 42,Requisito_300,8.0,29.0
Sprint 42,Requisito_301,12.0,20.0
Sprint 42,Requisito_302,5.0,39.0
Sprint 43,Requisito_274,8.0,9.0
Sprint 43,Requisito_303,14.0,22.0
Sprint 43,Requisito_304,8.0,25.0
Sprint 43,Requisito_305,15.0,12.0
Sprint 43,Requisito_306,4.0,26.0
Sprint 43,Requisito_307,1.0,39.0
Sprint 43,Requisito_308,5.0,29.0
Sprint 43,Requisito_309,18.0,18.0
Sprint 44,Requisito_291,10.0,8.0
Sprint 44,Requisito_310,10.0,21.0
Sprint 44,Requisito_311,14.0,29.0
Sprint 44,Requisito_312,12.0,18.0
Sprint 44,Requisito_313,13.0,19.0
Sprint 44,Requisito_314,3.0,18.0
Sprint 44,Requisito_315,5.0,16.0
Sprint 44,Requisito_316,12.0,21.0
Sprint 44,Requisito_317,13.0,30.0
Sprint 45,Requisito_318,7.0,35.0
Sprint 45,Requisito_319,1.0,33.0
Sprint 45,Requisito_320,18.0,36.0
Sprint 45,Requisito_321,10.0,19.0
Sprint 45,Requisito_322,14.0,37.0
Sprint 45,Requisito_323,18.0,8.0
Sprint 45,Requisito_324,10.0,11.0
Sprint 46,Requisito_325,2.0,30.0
Sprint 46,Requisito_326,12.0,11.0
Sprint 46,Requisito_327,17.0,8.0
Sprint 46,Requisito_331,1.0,30.0
Sprint 46,Requisito_332,10.0,27.0
Sprint 46,Requisito_333,10.0,15.0
Sprint 46,Requisito_334,17.0,33.0
Sprint 46,Requisito_335,1.0,22.0
Sprint 47,Requisito_328,3.0,10.0
Sprint 47,Requisito_336,10.0,17.0
Sprint 47,Requisito_337,15.0,17.0
Sprint 47,Requisito_338,4.0,35.0
Sprint 47,Requisito_339,17.0,39.0
Sprint 47,Requisito_340,15.0,31.0
Sprint 47,Requisito_341,3.0,27.0
Sprint 48,Requisito_330,14.0,11.0
Sprint 48,Requisito_342,16.0,16.0
Sprint 48,Requisito_343,13.0,16.0
Sprint 48,Requisito_345,17.0,17.0
Sprint 48,Requisito_346,1.0,26.0
Sprint 48,Requisito_347,8.0,19.0
Sprint 48,Requisito_348,7.0,16.0
Sprint 48,Requisito_349,9.0,25.0
Sprint 48,Requisito_350,7.0,32.0
Sprint 49,Requisito_344,8.0,9.0
Sprint 49,Requisito_351,5.0,32.0
Sprint 49,Requisito_352,11.0,35.0
Sprint 49,Requisito_353,15.0,28.0
Sprint 49,Requisito_354,16.0,12.0
Sprint 49,Requisito_355,18.0,13.0
Sprint 49,Requisito_356,13.0,12.0
Sprint 49,Requisito_358,17.0,35.0
Sprint 50,Requisito_357,16.0,17.0
Sprint 50,Requisito_359,10.0,26.0
Sprint 50,Requisito_360,7.0,35.0
Sprint 50,Requisito_361,18.0,16.0
Sprint 50,Requisito_364,2.0,25.0
Sprint 50,Requisito_365,16.0,32.0
Sprint 50,Requisito_367,8.0,29.0
Sprint 51,Requisito_363,8.0,24.0
Sprint 51,Requisito_368,4.0,34.0
Sprint 51,Requisito_369,16.0,24.0
Sprint 51,Requisito_370,14.0,38.0
Sprint 51,Requisito_371,6.0,33.0
Sprint 51,Requisito_372,3.0,14.0
Sprint 51,Requisito_373,8.0,13.0
Sprint 52,Requisito_362,2.0,9.0
Sprint 52,Requisito_374,13.0,26.0
Sprint 52,Requisito_375,3.0,21.0
Sprint 52,Requisito_376,14.0,13.0
Sprint 52,Requisito_377,6.0,32.0
Sprint 52,Requisito_378,2.0,16.0
Sprint 52,Requisito_380,5.0,27.0
Sprint 52,Requisito_381,4.0,35.0
Sprint 53,Requisito_276,17.0,20.0
Sprint 53,Requisito_379,7.0,12.0
Sprint 53,Requisito_382,18.0,36.0
Sprint 53,Requisito_383,7.0,14.0
Sprint 53,Requisito_384,7.0,40.0
Sprint 53,Requisito_387,6.0,32.0
Sprint 53,Requisito_394,18.0,22.0
Sprint 54,Requisito_113,3.0,28.0
Sprint 54,Requisito_366,6.0,10.0
Sprint 54,Requisito_385,12.0,10.0
Sprint 54,Requisito_386,6.0,9.0
Sprint 54,Requisito_388,10.0,25.0
Sprint 54,Requisito_389,11.0,37.0
Sprint 54,Requisito_392,15.0,34.0
Sprint 54,Requisito_393,16.0,27.0
Sprint 55,Requisito_329,16.0,8.0
Sprint 55,Requisito_390,3.0,28.0
Sprint 55,Requisito_391,8.0,9.0
Sprint 55,Requisito_396,2.0,36.0
Sprint 55,Requisito_397,5.0,25.0
Sprint 55,Requisito_398,11.0,40.0
Sprint 55,Requisito_399,7.0,16.0
Sprint 55,Requisito_400,15.0,18.0
